# Configuration automatically generated by WRITE_CONFIG()
connection ethernet
#connection (actual) ?
device any
#device (actual) t7
name "LJ1"
serial "470010172"
ip "192.168.1.33"
samplehz 1000.000000
settleus 100.000000
nsample 64
dataformat ascii

# Analog Inputs
aichannel 10
ailabel "Current"
ainegative 199
airange 1.000000
airesolution 0
aicalslope 984.279297
aicalzero 0.001190
aicalunits "uA"

aichannel 11
ailabel "Voltage"
ainegative 199
airange 10.000000
airesolution 0
aicalslope 1.000000
aicalzero 0.000000
aicalunits "V"

# Digital output
do4 0
do5 0

# Analog Outputs
aochannel 0
aosignal triangle
aofrequency 5.000000
aoamplitude 2.500000
aooffset 2.500000
aoduty 0.500000

# Meta Parameters
meta float
standoff_in 0.000000
meta end

## End Configuration ##
#: Fri Jul  1 10:10:52 2022
4.480728e-04	5.801671e+00
-1.794318e-03	-4.072056e+00
5.921666e-06	-7.339256e+00
7.427744e-03	-8.618466e+00
5.248570e-03	-9.066348e+00
5.564393e-03	-9.162684e+00
6.859264e-03	-9.089090e+00
1.585033e-03	-8.953904e+00
-5.309916e-04	-8.785238e+00
1.269210e-03	-8.598884e+00
7.080339e-03	-8.407475e+00
4.016864e-03	-8.213541e+00
2.248259e-03	-8.021817e+00
-1.162655e-03	-7.831989e+00
1.521868e-03	-7.635527e+00
1.048135e-03	-7.438750e+00
1.806108e-03	-7.243868e+00
6.101290e-03	-7.051828e+00
6.764517e-03	-6.851892e+00
9.543752e-03	-6.655115e+00
5.690722e-03	-6.462443e+00
1.995602e-03	-6.261876e+00
3.164144e-03	-6.070468e+00
5.532810e-03	-5.873059e+00
4.522179e-03	-5.680387e+00
6.006544e-03	-5.482978e+00
4.806419e-03	-5.293782e+00
1.039647e-02	-5.090371e+00
4.995913e-03	-4.897700e+00
3.322055e-03	-4.698396e+00
-2.331231e-03	-4.509199e+00
-6.257411e-04	-4.314001e+00
1.269210e-03	-4.115013e+00
5.627557e-03	-3.922341e+00
1.079717e-03	-3.724616e+00
-2.394397e-03	-3.534472e+00
9.701664e-03	-3.331061e+00
5.564393e-03	-3.135547e+00
-2.868145e-03	-2.940349e+00
4.806419e-03	-2.748941e+00
-1.288987e-03	-2.556586e+00
7.522490e-03	-2.355703e+00
-4.573634e-03	-2.171243e+00
6.132873e-03	-1.960253e+00
7.332997e-03	-1.766950e+00
-4.542051e-03	-1.581543e+00
8.880526e-03	-1.368973e+00
-6.310707e-03	-1.188936e+00
3.701042e-03	-9.798400e-01
2.185095e-03	-8.566568e-01
3.180922e-02	-7.047307e-01
-5.908614e-02	-6.425074e-01
6.550745e-02	-2.533746e-01
-8.152400e-04	-3.922519e-02
4.080028e-03	1.869507e-01
1.900855e-03	3.824898e-01
2.090348e-03	5.773971e-01
1.332375e-03	7.767270e-01
2.269972e-04	9.684753e-01
2.785157e-03	1.167489e+00
-2.962894e-03	1.360817e+00
7.617237e-03	1.556672e+00
-1.541652e-03	1.753475e+00
5.690722e-03	1.949014e+00
-2.678646e-03	2.143921e+00
2.911486e-03	2.338513e+00
-1.131071e-03	2.538790e+00
1.774526e-03	2.731802e+00
-1.194238e-03	2.932711e+00
2.816739e-03	3.115615e+00
-1.920650e-03	3.324737e+00
-2.783265e-04	3.520908e+00
7.007305e-04	3.714552e+00
-2.141732e-03	3.909143e+00
2.343006e-03	4.104367e+00
-3.152393e-03	4.300221e+00
-7.520737e-04	4.498919e+00
4.164905e-04	4.692879e+00
1.711362e-03	4.891893e+00
6.908611e-05	5.082694e+00
2.564082e-03	5.282340e+00
-1.510069e-03	5.476931e+00
-2.647062e-03	5.673418e+00
-3.910388e-03	5.868957e+00
-2.204898e-03	6.065444e+00
-3.910388e-03	6.264773e+00
4.774837e-03	6.462524e+00
1.995602e-03	6.659958e+00
-3.152393e-03	6.853918e+00
-2.236482e-03	7.050089e+00
-3.089227e-03	7.243732e+00
-1.699568e-03	7.440536e+00
-4.984215e-03	7.635127e+00
-2.173315e-03	7.832245e+00
-1.225821e-03	8.024626e+00
3.985282e-03	8.224903e+00
-6.889073e-04	8.416652e+00
2.153513e-03	8.612823e+00
-2.566131e-05	8.809309e+00
1.638328e-04	9.005164e+00
1.954150e-04	9.201335e+00
-1.320570e-03	9.309371e+00
-2.015400e-03	9.304317e+00
-1.825901e-03	9.190595e+00
5.216988e-03	9.020011e+00
6.908611e-05	8.838371e+00
1.174464e-03	8.652941e+00
-1.983816e-03	8.456139e+00
-8.468231e-04	8.262494e+00
-2.299648e-03	8.065060e+00
-1.983816e-03	7.868889e+00
-1.636402e-03	7.674298e+00
