# Configuration automatically generated by WRITE_CONFIG()
connection ethernet
#connection (actual) ?
device any
#device (actual) t7
name "LJ1"
serial "470010172"
ip "192.168.1.33"
samplehz 1000.000000
settleus 100.000000
nsample 64
dataformat ascii

# Analog Inputs
aichannel 10
ailabel "Current"
ainegative 199
airange 1.000000
airesolution 0
aicalslope 984.279297
aicalzero 0.001190
aicalunits "uA"

aichannel 11
ailabel "Voltage"
ainegative 199
airange 10.000000
airesolution 0
aicalslope 1.000000
aicalzero 0.000000
aicalunits "V"

# Digital output
do4 0
do5 0

# Analog Outputs
aochannel 0
aosignal triangle
aofrequency 5.000000
aoamplitude 2.500000
aooffset 2.500000
aoduty 0.500000

# Meta Parameters
meta float
standoff_in 0.150000
meta end

## End Configuration ##
#: Fri Jul  1 10:42:05 2022
3.533261e-04	-7.123211e+00
8.343629e-03	-8.981699e+00
8.280464e-03	-9.500333e+00
7.901477e-03	-9.582455e+00
-6.573242e-04	-9.504438e+00
4.995913e-03	-9.358829e+00
-5.941580e-04	-9.186057e+00
6.985593e-03	-8.999071e+00
-2.520730e-03	-8.805452e+00
6.448695e-03	-8.610570e+00
-2.204898e-03	-8.416320e+00
4.995913e-03	-8.217963e+00
-1.731151e-03	-8.023396e+00
2.974651e-03	-7.829146e+00
1.648197e-03	-7.630474e+00
-8.784062e-04	-7.439066e+00
3.543131e-03	-7.239130e+00
1.269210e-03	-7.046143e+00
2.564082e-03	-6.843364e+00
2.437753e-03	-6.650061e+00
5.532810e-03	-6.456758e+00
2.469335e-03	-6.258718e+00
-3.152393e-03	-6.070468e+00
-1.131071e-03	-5.879376e+00
1.269210e-03	-5.678493e+00
4.237940e-03	-5.487084e+00
3.606295e-03	-5.285885e+00
-2.331231e-03	-5.090055e+00
-8.152400e-04	-4.896437e+00
-2.141732e-03	-4.702818e+00
-2.457564e-03	-4.510778e+00
-6.889073e-04	-4.312737e+00
-1.446903e-03	-4.119434e+00
-5.625748e-04	-3.924552e+00
-9.415725e-04	-3.723353e+00
6.196037e-03	-3.529418e+00
3.764206e-03	-3.329166e+00
-2.394397e-03	-3.141549e+00
-2.394397e-03	-2.945719e+00
-4.478885e-03	-2.747678e+00
-2.710229e-03	-2.551532e+00
2.027184e-03	-2.351596e+00
1.363957e-03	-2.156082e+00
7.869895e-03	-1.958042e+00
7.711984e-03	-1.758106e+00
8.217299e-03	-1.571751e+00
1.300793e-03	-1.385081e+00
-2.647062e-03	-1.187041e+00
-2.615479e-03	-9.798400e-01
4.995913e-03	-7.884322e-01
-5.905456e-02	-5.439608e-01
-1.433283e-02	-4.454142e-01
-3.416704e-02	-2.113659e-01
1.837690e-03	-1.711537e-02
-1.519939e-04	1.812646e-01
7.323128e-04	3.790150e-01
3.217439e-04	5.783448e-01
2.311424e-03	7.719885e-01
9.533883e-04	9.694230e-01
-2.741812e-03	1.164646e+00
1.806108e-03	1.361133e+00
1.300793e-03	1.554461e+00
-2.173315e-03	1.751263e+00
3.416802e-03	1.946487e+00
1.964019e-03	2.141394e+00
-1.004739e-03	2.336617e+00
-2.615479e-03	2.535315e+00
-7.520737e-04	2.733066e+00
1.322506e-04	2.931448e+00
2.269972e-04	3.117510e+00
4.648508e-03	3.321894e+00
2.216677e-03	3.515538e+00
1.395539e-03	3.709498e+00
1.363957e-03	3.906616e+00
-5.309916e-04	4.101208e+00
-5.724445e-05	4.297379e+00
2.901617e-04	4.492918e+00
7.332997e-03	4.687509e+00
3.858953e-03	4.884943e+00
1.363957e-03	5.077640e+00
4.301104e-03	5.275706e+00
2.627246e-03	5.470929e+00
1.806108e-03	5.664889e+00
2.090348e-03	5.864851e+00
-5.309916e-04	6.057862e+00
-3.120810e-03	6.258140e+00
-2.962894e-03	6.453679e+00
4.016864e-03	6.650797e+00
2.090348e-03	6.846968e+00
-5.724445e-05	7.042508e+00
7.007305e-04	7.237731e+00
-2.520730e-03	7.432954e+00
3.290473e-03	7.628809e+00
1.322506e-04	7.824348e+00
-1.762734e-03	8.021151e+00
8.902239e-04	8.216373e+00
3.750389e-05	8.409070e+00
8.902239e-04	8.608084e+00
-2.204898e-03	8.802360e+00
7.638950e-04	8.997267e+00
-1.225821e-03	9.194701e+00
2.816739e-03	9.303053e+00
3.606295e-03	9.307159e+00
3.385219e-03	9.188699e+00
1.742944e-03	9.025065e+00
-1.667985e-03	8.841531e+00
-4.257803e-03	8.647886e+00
3.006233e-03	8.456770e+00
-8.784062e-04	8.263758e+00
-2.141732e-03	8.068851e+00
9.849706e-04	7.873943e+00
1.648197e-03	7.678404e+00
