time (sec), current (uA)
0.000, -6.50
0.063, 1.07
0.140, -0.19
0.263, -2.93
0.340, 0.92
0.463, -2.53
0.540, 1.14
0.663, -4.47
0.740, -2.30
0.863, -0.13
0.940, 5.41
1.063, 0.28
1.140, 2.95
1.263, -0.43
1.340, 4.86
1.463, -1.31
1.540, 0.33
1.663, -1.44
1.740, -1.07
1.863, -0.27
1.940, -4.87
2.063, -1.44
2.140, 0.87
2.263, 2.73
2.340, 1.19
2.463, 1.17
2.540, -3.05
2.663, -0.11
2.740, -3.42
2.863, 0.91
2.940, -4.37
3.063, -1.48
3.140, 1.08
3.263, 0.18
3.340, 2.40
3.463, -2.48
3.540, 1.66
3.663, -1.39
3.740, 3.58
3.863, 2.27
3.940, 56.98
4.063, 74.26
4.140, 58.18
4.263, 61.52
4.340, 70.36
4.463, 69.88
4.540, 64.95
4.663, 62.13
4.740, 60.94
4.863, 67.65
4.940, 66.52
5.063, 64.29
5.140, 59.36
5.263, 61.72
5.340, 64.12
5.463, 64.68
5.540, 67.68
5.663, 64.44
5.740, 66.81
5.863, 63.89
5.940, 71.91
6.063, 65.69
6.140, 60.16
6.263, 64.07
6.340, 69.03
6.463, 62.48
6.540, 65.50
6.663, 65.07
6.740, 60.35
6.863, 64.23
6.940, 63.29
7.063, 65.35
7.140, 60.85
7.263, 64.30
7.340, 67.30
7.463, 62.78
7.540, 65.45
7.663, 66.60
7.740, 66.53
7.863, 63.22
7.940, 67.68
8.063, 65.51
8.140, 66.73
8.263, 65.13
8.340, 67.19
8.463, 67.17
8.540, 67.19
8.663, 64.85
8.740, 66.85
8.863, 66.77
8.940, 65.44
9.063, 66.42
9.140, 61.66
9.263, 67.14
9.340, 69.70
9.463, 67.04
9.540, 64.23
9.663, 65.53
9.740, 69.07
9.863, 66.16
9.940, 66.65
10.063, 67.07
10.140, 70.26
10.263, 64.72
10.340, 72.20
10.463, 67.69
10.540, 61.97
10.663, 68.31
10.740, 65.98
10.863, 70.10
10.940, 66.59
11.063, 66.39
11.140, 69.21
11.263, 67.18
11.340, 71.71
11.463, 71.56
11.540, 66.98
11.663, 68.71
11.740, 68.42
11.863, 68.24
11.940, 67.54
12.063, 70.96
12.140, 69.19
12.263, 66.85
12.340, 65.55
12.463, 65.83
12.540, 67.04
12.663, 67.40
12.740, 68.49
12.863, 65.77
12.940, 66.28
13.063, 66.72
13.140, 70.36
13.263, 68.81
13.340, 63.21
13.463, 69.43
13.540, 71.32
13.663, 65.98
13.740, 73.52
13.863, 69.37
13.940, 69.15
14.063, 68.46
14.140, 69.56
14.263, 70.99
14.340, 64.55
14.463, 66.09
14.540, 71.73
14.663, 68.58
14.740, 70.56
14.863, 69.68
14.940, 71.03
15.063, 67.21
15.140, 69.74
15.263, 71.36
15.340, 67.80
15.463, 69.72
15.540, 70.24
15.663, 71.15
15.740, 72.65
15.863, 71.97
15.940, 66.11
16.063, 66.55
16.140, 69.09
16.263, 71.31
16.340, 71.81
16.463, 68.85
16.540, 72.87
16.663, 71.95
16.740, 64.03
16.863, 67.74
16.940, 70.12
17.063, 67.22
17.140, 72.22
17.263, 67.86
17.340, 75.88
17.463, 68.66
17.540, 67.89
17.663, 73.07
17.740, 69.23
17.863, 70.35
17.940, 68.60
18.063, 70.09
18.140, 69.02
18.263, 69.49
18.340, 71.33
18.463, 71.40
18.540, 69.97
18.663, 70.23
18.740, 74.65
18.863, 72.98
18.940, 70.72
19.063, 69.13
19.140, 67.81
19.263, 67.52
19.340, 71.54
19.463, 66.69
19.540, 65.77
19.663, 70.76
19.740, 67.82
19.863, 69.45
19.940, 70.20
20.063, 68.22
20.140, 65.18
20.263, 68.31
20.340, 67.53
20.463, 68.67
20.540, 64.48
20.663, 69.10
20.740, 64.05
20.863, 65.28
20.940, 71.61
21.063, 69.16
21.140, 69.88
21.263, 70.03
21.340, 68.06
21.463, 72.27
21.540, 72.79
21.663, 67.64
21.740, 67.91
21.863, 70.72
21.940, 72.07
22.063, 70.10
22.140, 72.41
22.263, 68.60
22.340, 67.54
22.463, 71.01
22.540, 74.03
22.663, 72.85
22.740, 68.08
22.863, 71.85
22.940, 68.81
23.063, 70.21
23.140, 73.40
23.263, 71.52
23.340, 65.21
23.463, 68.54
23.540, 74.74
23.663, 69.34
23.740, 70.67
23.863, 70.00
23.940, 70.52
24.063, 70.71
24.140, 75.63
24.263, 76.73
24.340, 67.22
24.463, 69.78
24.540, 74.27
24.663, 74.60
24.740, 67.08
24.863, 72.73
24.940, 71.41
25.063, 73.90
25.140, 68.03
25.263, 71.47
25.340, 73.53
25.463, 69.78
25.540, 75.12
25.663, 70.20
25.740, 74.89
25.863, 76.70
25.940, 70.62
26.063, 72.70
26.140, 73.53
26.263, 70.77
26.340, 73.87
26.463, 72.48
26.540, 73.37
26.663, 77.28
26.740, 71.38
26.863, 75.36
26.940, 72.77
27.063, 69.08
27.140, 72.23
27.263, 72.27
27.340, 71.45
27.463, 70.38
27.540, 74.71
27.663, 76.60
27.740, 70.25
27.863, 70.53
27.940, 77.55
28.063, 73.17
28.140, 74.97
28.263, 71.24
28.340, 75.03
28.463, 71.58
28.540, 72.06
28.663, 75.38
28.740, 70.79
28.863, 72.20
28.940, 71.66
29.063, 71.70
29.140, 73.82
29.263, 74.32
29.340, 72.01
29.463, 71.93
29.540, 74.20
29.663, 72.64
29.740, 75.86
29.863, 75.31
29.940, 69.10
30.063, 73.12
30.140, 73.19
30.263, 78.02
30.340, 68.08
30.463, 75.36
30.540, 75.23
30.663, 76.59
30.740, 77.27
30.863, 74.39
30.940, 75.11
31.063, 74.96
31.140, 74.25
31.263, 75.68
31.340, 72.21
31.463, 75.74
31.540, 71.41
31.663, 73.78
31.740, 77.04
31.863, 76.96
31.940, 80.79
32.063, 75.33
32.140, 73.67
32.263, 74.90
32.340, 78.94
32.463, 74.23
32.540, 81.88
32.663, 74.02
32.740, 80.42
32.863, 73.77
32.940, 78.18
33.063, 76.29
33.140, 75.90
33.263, 74.29
33.340, 85.02
33.463, 73.71
33.540, 76.72
33.663, 73.55
33.740, 77.93
33.863, 75.30
33.940, 70.85
34.063, 74.25
34.140, 73.15
34.263, 76.26
34.340, 76.91
34.463, 75.72
34.540, 71.71
34.663, 74.85
34.740, 71.79
34.863, 75.17
34.940, 70.89
35.063, 75.49
35.140, 79.33
35.263, 73.48
35.340, 75.99
35.463, 76.35
35.540, 80.97
35.663, 75.52
35.740, 83.79
35.863, 74.20
35.940, 74.24
36.063, 72.45
36.140, 76.06
36.263, 76.39
36.340, 70.70
36.463, 77.06
36.540, 73.82
36.663, 76.32
36.740, 79.58
36.863, 72.16
36.940, 82.00
37.063, 77.35
37.140, 79.11
37.263, 75.84
37.340, 79.35
37.463, 74.24
37.540, 84.39
37.663, 76.03
37.740, 75.56
37.863, 75.51
37.940, 76.73
38.063, 74.61
38.140, 76.80
38.263, 73.55
38.340, 78.74
38.463, 77.25
38.540, 69.08
38.663, 74.86
38.740, 73.47
38.863, 77.85
38.940, 78.82
39.063, 75.12
39.140, 74.45
39.263, 76.60
39.340, 79.62
39.463, 75.15
39.540, 74.23
39.663, 79.16
39.740, 78.85
39.863, 77.29
39.940, 77.93
40.063, 76.39
40.140, 81.50
40.263, 78.62
40.340, 77.06
40.463, 78.19
40.540, 77.97
40.663, 76.65
40.740, 74.75
40.863, 73.96
40.940, 78.06
41.063, 75.67
41.140, 75.85
41.263, 73.59
41.340, 77.84
41.463, 75.75
41.540, 75.37
41.663, 73.53
41.740, 79.54
41.863, 73.96
41.940, 75.62
42.063, 78.76
42.140, 79.54
42.263, 78.68
42.340, 83.69
42.463, 78.94
42.540, 81.55
42.663, 78.23
42.740, 76.79
42.863, 74.00
42.940, 78.16
43.063, 74.87
43.140, 76.35
43.263, 78.65
43.340, 78.10
43.463, 77.32
43.540, 76.09
43.663, 75.28
43.740, 78.62
43.863, 75.66
43.940, 79.14
44.063, 75.67
44.140, 76.36
44.263, 77.06
44.340, 77.64
44.463, 77.18
44.540, 76.65
44.663, 75.55
44.740, 79.94
44.863, 78.20
44.940, 77.66
45.063, 74.80
45.140, 75.21
45.263, 77.85
45.340, 73.14
45.463, 74.09
45.540, 77.92
45.663, 73.80
45.740, 71.69
45.863, 72.81
45.940, 77.49
46.063, 73.07
46.140, 68.07
46.263, 70.93
46.340, 73.67
46.463, 74.32
46.540, 69.98
46.663, 72.30
46.740, 72.32
46.863, 72.15
46.940, 72.87
47.063, 72.91
47.140, 72.74
47.263, 71.51
47.340, 77.42
47.463, 72.38
47.540, 73.35
47.663, 70.55
47.740, 77.28
47.863, 71.66
47.940, 76.54
48.063, 72.34
48.140, 69.78
48.263, 73.38
48.340, 77.41
48.463, 71.52
48.540, 75.97
48.663, 70.70
48.740, 77.90
48.863, 72.32
48.940, 72.64
49.063, 71.76
49.140, 75.02
49.263, 71.69
49.340, 80.13
49.463, 72.41
49.540, 77.01
49.663, 73.78
49.740, 75.52
49.863, 72.20
49.940, 74.70
50.063, 75.75
50.140, 80.80
50.263, 77.60
50.340, 78.03
50.463, 73.40
50.540, 81.06
50.663, 73.08
50.740, 76.56
50.863, 79.25
50.940, 79.72
51.063, 76.63
51.140, 73.62
51.263, 74.53
51.340, 75.35
51.463, 76.52
51.540, 79.14
51.663, 75.73
51.740, 73.89
51.863, 77.17
51.940, 73.42
52.063, 81.09
52.140, 82.24
52.263, 78.40
52.340, 80.79
52.463, 78.11
52.540, 75.23
52.663, 77.50
52.740, 76.87
52.863, 80.23
52.940, 81.14
53.063, 74.86
53.140, 78.24
