time (sec), voltage (V)
0.052, -0.27
0.052, -0.15
0.151, -0.26
0.152, -0.44
0.155, -1.01
0.156, -1.12
0.249, -0.66
0.250, -0.60
0.252, -0.33
0.253, -0.13
0.352, -0.54
0.354, -0.80
0.354, -0.90
0.356, -1.12
0.649, -0.85
0.652, -0.29
0.752, -0.40
0.753, -0.62
0.954, -0.95
0.956, -1.11
1.049, -0.79
1.051, -0.57
1.152, -0.34
1.156, -1.10
1.353, -0.73
1.355, -1.03
1.449, -0.79
1.453, -0.09
1.555, -0.98
1.555, -1.10
1.651, -0.57
1.652, -0.22
1.752, -0.45
1.755, -1.05
1.954, -1.05
1.956, -1.13
2.050, -0.68
2.050, -0.60
2.152, -0.40
2.154, -0.67
2.155, -0.91
2.156, -1.12
2.252, -0.34
2.252, -0.18
2.351, -0.19
2.353, -0.56
2.649, -0.70
2.651, -0.45
2.752, -0.27
2.753, -0.63
2.851, -0.57
2.853, -0.14
3.049, -0.81
3.051, -0.52
3.052, -0.34
3.052, -0.23
3.152, -0.47
3.154, -0.66
3.155, -0.97
3.155, -1.10
3.252, -0.32
3.253, -0.10
3.353, -0.59
3.353, -0.74
3.355, -1.01
3.356, -1.13
3.451, -0.65
3.452, -0.16
3.551, -0.17
3.554, -0.95
3.649, -0.71
3.651, -0.54
3.652, -0.31
3.652, -0.21
3.751, -0.22
3.752, -0.49
3.849, -0.75
3.851, -0.53
3.952, -0.30
3.955, -1.00
4.049, -0.82
4.051, -0.43
4.151, -0.16
4.153, -0.61
4.155, -1.00
4.156, -1.11
4.249, -0.77
4.253, -0.12
4.351, -0.22
4.352, -0.52
4.355, -0.91
4.356, -1.12
4.553, -0.70
4.556, -1.10
4.751, -0.17
4.754, -0.89
4.754, -1.00
4.756, -1.12
4.849, -0.72
4.851, -0.61
4.952, -0.35
4.954, -0.80
4.955, -0.98
4.956, -1.13
5.049, -0.79
5.051, -0.66
5.052, -0.45
5.053, -0.13
5.250, -0.67
5.252, -0.29
5.353, -0.49
5.353, -0.59
5.355, -1.01
5.355, -1.03
5.449, -0.81
5.452, -0.34
5.649, -0.79
5.651, -0.73
5.755, -0.92
5.755, -1.04
5.849, -0.69
5.850, -0.59
5.852, -0.39
5.853, -0.16
5.951, -0.22
5.954, -0.80
6.126, 4.79
6.126, 4.65
6.128, 4.34
6.130, 4.04
6.153, -0.48
6.155, -1.04
6.251, -0.46
6.253, -0.12
6.260, 1.39
6.344, 1.32
6.355, -0.98
6.355, -1.06
6.459, 1.18
6.545, 0.94
6.553, -0.73
6.555, -1.07
6.650, -0.80
6.652, -0.36
6.657, 0.84
6.746, 0.78
6.751, -0.18
6.754, -0.90
6.850, -0.64
6.852, -0.34
6.858, 0.90
6.946, 0.88
6.951, -0.19
6.955, -1.02
7.051, -0.52
7.051, -0.39
7.057, 0.86
7.146, 0.88
7.151, -0.22
7.153, -0.65
7.155, -1.01
7.156, -1.11
7.251, -0.45
7.251, -0.40
7.258, 0.95
7.346, 0.86
7.352, -0.44
7.355, -1.01
7.451, -0.61
7.452, -0.33
7.457, 0.83
7.546, 0.91
7.553, -0.56
7.555, -1.01
7.649, -0.78
7.653, -0.11
7.657, 0.84
7.746, 0.89
7.751, -0.23
7.755, -1.06
7.857, 0.86
7.946, 0.77
8.058, 0.93
8.146, 0.78
8.151, -0.20
8.153, -0.44
8.155, -0.98
8.156, -1.08
8.251, -0.64
8.252, -0.18
8.258, 1.01
8.346, 0.92
8.354, -0.68
8.356, -1.10
8.457, 0.82
8.546, 0.83
8.551, -0.20
8.553, -0.46
8.649, -0.83
8.651, -0.68
8.658, 1.00
8.746, 0.93
8.753, -0.58
8.753, -0.66
8.849, -0.80
8.852, -0.25
8.857, 0.76
8.946, 0.76
8.953, -0.79
8.955, -1.07
9.049, -0.79
9.051, -0.62
9.057, 0.82
9.146, 0.80
9.152, -0.37
9.156, -1.10
9.250, -0.82
9.252, -0.35
9.257, 0.85
9.346, 0.89
9.353, -0.73
9.355, -1.01
9.452, -0.21
9.452, -0.18
9.457, 0.82
9.546, 0.81
9.649, -0.77
9.651, -0.73
9.658, 0.94
9.746, 0.89
9.850, -0.56
9.851, -0.44
9.857, 0.86
9.946, 0.87
9.951, -0.18
9.954, -1.04
10.050, -0.54
10.052, -0.33
10.058, 0.89
10.146, 0.87
10.154, -0.78
10.156, -1.11
10.258, 0.98
10.345, 0.98
10.352, -0.47
10.356, -1.10
10.457, 0.86
10.546, 0.88
10.553, -0.52
10.553, -0.72
10.651, -0.47
10.651, -0.41
10.658, 0.97
10.746, 0.87
10.755, -0.95
10.756, -1.11
10.849, -0.76
10.852, -0.36
10.858, 0.90
10.946, 0.85
10.952, -0.23
10.952, -0.34
10.954, -0.78
10.956, -1.10
11.057, 0.83
11.146, 0.89
11.152, -0.44
11.153, -0.76
11.155, -1.03
11.155, -1.06
11.250, -0.55
11.252, -0.32
11.258, 0.99
11.346, 0.83
11.355, -0.93
11.356, -1.08
11.458, 0.93
11.546, 0.91
11.555, -0.93
11.556, -1.09
11.652, -0.29
11.652, -0.17
11.657, 0.86
11.746, 0.92
11.754, -0.79
11.755, -0.98
11.849, -0.80
11.852, -0.30
11.858, 1.01
11.946, 0.79
11.952, -0.23
11.954, -0.85
12.058, 0.92
12.145, 0.97
12.151, -0.23
12.152, -0.47
12.258, 0.93
12.346, 0.92
12.351, -0.19
12.353, -0.78
12.355, -0.90
12.356, -1.11
12.458, 0.90
12.546, 0.81
12.551, -0.20
12.552, -0.43
12.649, -0.80
12.651, -0.69
12.651, -0.53
12.653, -0.11
12.658, 1.01
12.746, 0.89
12.755, -1.01
12.755, -1.08
12.858, 1.03
12.946, 0.92
12.952, -0.47
12.955, -1.04
13.050, -0.57
13.052, -0.32
13.058, 0.94
13.145, 1.01
13.258, 1.03
13.346, 0.90
13.351, -0.18
13.352, -0.41
13.458, 1.00
13.545, 1.03
13.554, -1.00
13.556, -1.16
13.650, -0.54
13.653, -0.09
13.658, 1.05
13.745, 1.05
13.751, -0.18
13.752, -0.46
13.858, 0.90
13.945, 1.09
13.953, -0.59
13.953, -0.72
13.955, -0.97
13.956, -1.16
14.050, -0.50
14.051, -0.38
14.058, 1.02
14.145, 0.95
14.153, -0.81
14.156, -1.14
14.250, -0.65
14.252, -0.16
14.258, 1.00
14.346, 0.92
14.352, -0.40
14.352, -0.43
14.354, -0.74
14.354, -0.94
14.458, 1.05
14.545, 0.95
14.552, -0.23
14.552, -0.36
14.553, -0.61
14.556, -1.17
14.659, 1.07
14.745, 1.06
14.751, -0.20
14.752, -0.54
14.849, -0.79
14.853, -0.10
14.858, 0.98
14.945, 0.94
14.952, -0.51
14.956, -1.13
15.050, -0.53
15.052, -0.33
15.058, 0.95
15.146, 0.91
15.151, -0.22
15.153, -0.77
15.154, -0.86
15.156, -1.15
15.259, 1.09
15.345, 0.96
15.351, -0.22
15.352, -0.49
15.353, -0.72
15.355, -0.97
15.450, -0.52
15.452, -0.32
15.458, 0.96
15.546, 0.92
15.555, -0.92
15.556, -1.10
15.658, 0.89
15.746, 0.81
15.751, -0.22
15.754, -0.91
15.858, 1.02
15.945, 1.08
15.954, -0.85
15.956, -1.17
16.052, -0.25
16.053, -0.08
16.058, 0.91
16.146, 0.93
16.155, -1.01
16.156, -1.17
16.258, 1.01
16.345, 1.00
16.351, -0.23
16.354, -0.83
16.355, -1.02
16.355, -1.06
16.458, 0.90
16.546, 0.87
16.553, -0.60
16.556, -1.17
16.652, -0.32
16.653, -0.14
16.659, 1.13
16.746, 0.83
16.859, 1.17
16.946, 0.94
16.951, -0.17
16.954, -1.01
17.050, -0.52
17.051, -0.34
17.058, 0.92
17.145, 1.08
17.151, -0.20
17.154, -0.78
17.154, -1.02
17.156, -1.18
17.251, -0.53
17.251, -0.46
17.258, 1.03
17.346, 0.81
17.353, -0.75
17.356, -1.13
17.449, -0.78
17.450, -0.72
17.459, 1.18
17.545, 0.95
17.552, -0.41
17.554, -0.81
17.658, 1.01
17.745, 1.06
17.753, -0.84
17.756, -1.11
17.858, 0.94
17.946, 0.93
17.952, -0.24
17.955, -1.02
18.052, -0.37
18.053, -0.11
18.058, 1.04
18.145, 1.03
18.151, -0.26
18.152, -0.45
18.154, -0.86
18.155, -1.00
18.259, 1.19
18.345, 1.09
18.353, -0.51
18.353, -0.52
18.355, -1.00
18.356, -1.16
18.451, -0.56
18.452, -0.34
18.458, 0.95
18.545, 1.01
18.553, -0.47
18.554, -0.96
18.649, -0.82
18.653, -0.11
18.658, 0.95
18.745, 1.11
18.751, -0.25
18.753, -0.85
18.851, -0.76
18.851, -0.50
18.858, 0.97
18.944, 1.25
18.945, 1.05
18.945, 1.03
18.953, -0.59
18.954, -0.92
19.052, -0.32
19.053, -0.12
19.059, 1.12
19.145, 1.11
19.146, 0.85
19.146, 0.84
19.151, -0.22
19.155, -1.17
19.258, 1.00
19.345, 0.96
19.353, -0.61
19.356, -1.12
19.450, -0.61
19.450, -0.59
19.458, 0.93
19.545, 1.10
19.551, -0.21
19.555, -1.02
19.658, 0.98
19.745, 1.00
19.751, -0.20
19.756, -1.11
19.851, -0.49
19.851, -0.36
19.859, 1.08
19.945, 1.02
19.951, -0.20
19.954, -0.96
20.050, -0.63
20.052, -0.36
20.058, 0.96
20.145, 1.02
20.151, -0.22
20.156, -1.11
20.258, 1.05
20.345, 1.07
20.353, -0.69
20.353, -0.81
20.449, -0.69
20.452, -0.39
20.458, 1.03
20.545, 0.95
20.553, -0.83
20.555, -1.02
20.649, -0.75
20.652, -0.35
20.659, 1.11
20.745, 1.11
20.753, -0.58
20.755, -1.06
20.852, -0.34
20.853, -0.15
20.858, 0.93
20.945, 1.03
20.953, -0.59
20.956, -1.08
21.050, -0.56
21.052, -0.33
21.058, 1.02
21.146, 0.93
21.151, -0.18
21.153, -0.82
21.155, -1.03
21.156, -1.10
21.249, -0.74
21.252, -0.28
21.259, 1.12
21.345, 1.02
21.458, 0.98
21.545, 1.09
21.551, -0.22
21.553, -0.50
21.649, -0.86
21.651, -0.44
21.659, 1.18
21.745, 0.99
21.752, -0.42
21.752, -0.46
21.754, -0.92
21.755, -0.98
21.859, 1.08
21.945, 1.01
21.953, -0.44
21.954, -0.95
22.052, -0.36
22.053, -0.11
22.059, 1.12
22.146, 0.82
22.151, -0.20
22.154, -0.92
22.258, 1.06
22.345, 0.96
22.353, -0.69
22.353, -0.81
22.459, 1.17
22.544, 1.14
22.551, -0.20
22.552, -0.47
22.554, -0.80
22.556, -1.07
22.650, -0.60
22.652, -0.33
22.659, 1.18
22.745, 1.09
22.752, -0.40
22.754, -0.98
22.850, -0.50
22.852, -0.29
22.859, 1.07
22.945, 1.11
22.953, -0.82
22.956, -1.09
23.052, -0.32
23.053, -0.09
23.059, 1.18
23.145, 0.97
23.153, -0.74
23.155, -1.06
23.259, 1.11
23.345, 1.00
23.351, -0.21
23.353, -0.68
23.452, -0.29
23.453, -0.13
23.459, 1.18
23.545, 1.12
23.552, -0.50
23.555, -1.12
23.649, -0.83
23.650, -0.77
23.652, -0.45
23.653, -0.10
23.658, 1.02
23.745, 1.02
23.751, -0.26
23.752, -0.47
23.756, -1.18
23.756, -1.18
23.858, 1.03
23.945, 1.07
23.951, -0.21
23.953, -0.92
23.955, -1.01
23.955, -1.06
24.049, -0.79
24.051, -0.68
24.058, 0.95
24.144, 1.16
24.155, -0.91
24.156, -1.12
24.259, 1.10
24.345, 1.10
24.354, -0.77
24.354, -0.95
24.450, -0.58
24.452, -0.14
24.458, 1.03
24.545, 1.10
24.551, -0.22
24.553, -0.46
24.553, -0.67
24.555, -1.00
24.650, -0.58
24.652, -0.24
24.659, 1.14
24.745, 1.05
24.752, -0.44
24.755, -0.99
24.858, 0.96
24.858, 1.02
24.859, 1.21
24.945, 0.99
24.951, -0.23
24.953, -0.48
24.954, -0.88
24.954, -1.08
24.956, -1.20
24.956, -1.21
25.051, -0.56
25.052, -0.14
25.059, 1.14
25.145, 0.99
25.155, -1.05
25.156, -1.21
25.250, -0.56
25.252, -0.35
25.259, 1.07
25.344, 1.24
25.351, -0.23
25.352, -0.51
25.353, -0.78
25.355, -1.00
25.451, -0.50
25.451, -0.41
25.459, 1.11
25.545, 1.06
25.552, -0.37
25.556, -1.06
25.652, -0.36
25.653, -0.10
25.658, 1.03
25.745, 0.99
25.751, -0.22
25.752, -0.45
25.754, -0.84
25.755, -1.13
25.850, -0.51
25.852, -0.32
25.858, 0.98
25.945, 1.13
25.955, -1.01
25.956, -1.12
26.059, 1.22
26.145, 0.99
26.151, -0.25
26.154, -1.08
26.249, -0.75
26.253, -0.11
26.258, 1.04
26.345, 1.04
26.352, -0.46
26.354, -0.92
26.355, -0.99
26.356, -1.09
26.459, 1.22
26.545, 1.08
26.551, -0.23
26.552, -0.46
26.554, -0.75
26.556, -1.12
26.659, 1.08
26.746, 0.92
26.752, -0.30
26.754, -0.81
26.859, 1.11
26.945, 1.13
26.952, -0.21
26.952, -0.33
26.954, -0.95
26.954, -1.01
27.050, -0.53
27.052, -0.28
27.058, 1.06
27.145, 1.07
27.251, -0.66
27.252, -0.43
27.258, 1.05
27.344, 1.17
27.459, 1.18
27.545, 1.00
27.650, -0.50
27.652, -0.23
27.659, 1.08
27.745, 1.11
27.751, -0.19
27.752, -0.47
27.754, -1.01
27.755, -1.14
27.852, -0.34
27.853, -0.12
27.858, 0.89
27.945, 1.06
27.951, -0.23
27.956, -1.17
28.059, 1.08
28.145, 1.07
28.151, -0.18
28.152, -0.40
28.258, 0.94
28.345, 1.03
